"Source:","/home/robert/ownCloud/Electronics/Projects/NixieClock_2017/PCB/esp_nixie_clock.sch"
"Date:","otrdiena, 2017. gada 21. novembris, plkst. 15 un 48"
"Tool:","Eeschema 4.0.7-e2-6376~58~ubuntu16.04.1"
"Generator:","/usr/lib/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","132"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Manufacturer","Manufacturer Part Number","Manufacturer Part number","Notes"
"","","NE1","Lamp_Neon","device:Lamp_Neon","footprints:NE-2","","","","",""
"","","NE2","Lamp_Neon","device:Lamp_Neon","footprints:NE-2","","","","",""
"","","Q1","BC847BW","device:Q_NPN_BEC","TO_SOT_Packages_SMD:SOT-323_SC-70_Handsoldering","","","","",""
"","","Q2","BC857W","transistors:BC857W","TO_SOT_Packages_SMD:SOT-323_SC-70_Handsoldering","","","","",""
"","","Q3","NTF5P03T3G","device:Q_PMOS_GDS","TO_SOT_Packages_SMD:SOT-223-3_TabPin2","","","","",""
"","","Q4","BC857W","transistors:BC857W","TO_SOT_Packages_SMD:SOT-323_SC-70_Handsoldering","","","","",""
"","","Q5","IPN70R900P7SATMA1","device:Q_NMOS_GDS","TO_SOT_Packages_SMD:SOT-223-3_TabPin2","","","","",""
"","","Q6","NTF5P03T3G","device:Q_PMOS_GDS","TO_SOT_Packages_SMD:SOT-223-3_TabPin2","","","","",""
"","","Q7","NTF5P03T3G","device:Q_PMOS_GDS","TO_SOT_Packages_SMD:SOT-223-3_TabPin2","","","","",""
"","","Q8","BC847BW","device:Q_NPN_BEC","TO_SOT_Packages_SMD:SOT-323_SC-70_Handsoldering","","","","",""
"","","Q9","BC847BW","device:Q_NPN_BEC","TO_SOT_Packages_SMD:SOT-323_SC-70_Handsoldering","","","","",""
"","","Q10","BC847BW","device:Q_NPN_BEC","TO_SOT_Packages_SMD:SOT-323_SC-70_Handsoldering","","","","",""
"","","Q11","BC847BW","device:Q_NPN_BEC","TO_SOT_Packages_SMD:SOT-323_SC-70_Handsoldering","","","","",""
"","","R1","1k","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"","","R2","5.6k","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"","","R3","3.3k","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"","","R4","10k","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"","","R5","1k","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"","","R6","1k","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"","","R7","165k","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"","","R8","165k","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"","","R9","3.3k","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"","","R10","5.6k","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"","","R11","300","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"","","R12","10k","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"","","R13","10k","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"","","R14","LDR","opto:LDR03","Opto-Devices:Resistor_LDR_10x8.5_RM7.6","","","","",""
"","","R15","330k","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"","","R16","100k","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"","","R17","10k","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"","","R18","10k","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"","","R19","10k","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"","","R20","10k","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"","","R21","10k","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"","","R22","10k","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"","","R23","10k","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"","","R24","10k","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"","","R25","10k","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"","","R26","1k","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"","","R27","1k","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"","","R28","1k","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"","","R29","5k","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"","","R30","5k","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"","","R31","5k","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"","","R32","5k","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"","","R33","68k","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"","","R34","5k","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"","","R35","5k","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"","","R36","5k","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"","","R37","5k","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"","","R38","68k","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"","","R39","5k","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"","","R40","5k","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"","","R41","5k","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"","","R42","5k","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"","","R43","100k","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"","","R44","100k","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"","","R45","100k","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"","","R46","100k","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"","","R47","0R","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"","","R48","0R","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"","","R49","0R","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"","","R50","0R","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"","","RV1","100k","device:POT","Potentiometers:Potentiometer_Trimmer_Bourns_3214G","","","","",""
"","","RV2","100k","device:POT","Potentiometers:Potentiometer_Trimmer_Bourns_3214G","","","","",""
"","","RV3","100k","device:POT","Potentiometers:Potentiometer_Trimmer_Bourns_3214G","","","","",""
"","","SW1","SW_Push","switches:SW_Push","footprints:SW_SMD","","","","",""
"","","SW2","SW_Push","switches:SW_Push","footprints:SW_SMD","","","","",""
"","","SW3","SW_Push","switches:SW_Push","footprints:SW_SMD","","","","",""
"","","SW4","SW_Push","switches:SW_Push","footprints:SW_SMD","","","","",""
"","","U1","MC34063","dc-dc:MC34063","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","","","","",""
"","","U2","MC34063","dc-dc:MC34063","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","","","","",""
"","","U3","MCP7940N","microchip:MCP7940N","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","","","","",""
"","","U4","ESP-12","ESP8266:ESP-12","footprints:ESP-12-SMD","","","","",""
"","","U5","HV5522","components:HV5522","Housings_QFP:PQFP-44_10x10mm_Pitch0.8mm","","","","",""
"","","U6","HV5522","components:HV5522","Housings_QFP:PQFP-44_10x10mm_Pitch0.8mm","","","","",""
"","","U7","AZ1117-3.3","regul:AZ1117-3.3","TO_SOT_Packages_SMD:SOT-223-3_TabPin2","","","","",""
"","","Y1","32.768 kHz","device:Crystal_GND3","footprints:Citizen_CMR200T","","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Manufacturer","Manufacturer Part Number","Manufacturer Part number","Notes"
"1","1","BT1","CR2032","device:Battery_Cell","footprints:BATT_HOLDER","","","","",""
"2","13","C1, C6, C7, C12, C13, C16, C17, C18, C21, C22, C24, C25, C26","100n","device:C","Capacitors_SMD:C_0805_HandSoldering","","","","",""
"3","1","C2","270p","device:C","Capacitors_SMD:C_0805_HandSoldering","","","","",""
"4","4","C3, C5, C9, C19","220u","device:CP","Capacitors_SMD:CP_Elec_8x10","","Nichicon","UWT1E221MNL1GS","EMZR250ADA221MF80G","25V"
"5","2","C4, C10","10n","device:C","Capacitors_SMD:C_0805_HandSoldering","","","","",""
"6","1","C8","680p","device:C","Capacitors_SMD:C_0805_HandSoldering","","","","",""
"7","1","C11","2.2u","device:CP","Capacitors_SMD:CP_Elec_8x10","","","","",""
"8","2","C14, C15","6p","device:C","Capacitors_SMD:C_0805_HandSoldering","","","","",""
"9","1","C20","1u","device:C","Capacitors_SMD:CP_Elec_8x10","","","","",""
"10","1","C23","10u","device:CP","Capacitors_SMD:CP_Elec_8x10","","","","",""
"11","1","D1","SS13 R3G","device:D","Diodes_SMD:D_SMA","","","","",""
"12","1","D2","1n4148","device:D","Diodes_SMD:D_SOD-123","","","","",""
"13","1","D3","RS1GTR","device:D","Diodes_SMD:D_SMA","","","","",""
"14","1","D4","LED","device:LED","LEDs:LED_0805_HandSoldering","","","","",""
"15","3","F1, F2, F3","Fiducial","components:Fiducial","Fiducials:Fiducial_1mm_Dia_2.54mm_Outer_CopperTop","","","","",""
"16","1","J1","Power Jack","conn:Barrel_Jack","Connectors:BARREL_JACK","","","","",""
"17","1","J2","Conn_01x03_Male","conn:Conn_01x03_Male","Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm","","","","",""
"18","1","L1","100u","device:L","footprints:L_100u","","","","",""
"19","1","L2","150u","device:L","Inductors_SMD:L_Wuerth_WE-PD-Typ-LS_Handsoldering","","","","",""
"20","6","LED1, LED2, LED3, LED4, LED5, LED6","WS2812","Worldsemi:WS2812","LEDs:LED_WS2812-PLCC6","","","","",""
"21","4","MK1, MK2, MK3, MK4","Mounting_Hole_PAD","mechanical:Mounting_Hole_PAD","Mounting_Holes:MountingHole_3.2mm_M3_Pad_Via","","","","",""
"22","6","N1, N2, N3, N4, N5, N6","IN-14","components:IN-14","footprints:IN-14","","","","",""
"23","2","NE1, NE2","Lamp_Neon","device:Lamp_Neon","footprints:NE-2","","","","",""
"24","5","Q1, Q8, Q9, Q10, Q11","BC847BW","device:Q_NPN_BEC","TO_SOT_Packages_SMD:SOT-323_SC-70_Handsoldering","","","","",""
"25","2","Q2, Q4","BC857W","transistors:BC857W","TO_SOT_Packages_SMD:SOT-323_SC-70_Handsoldering","","","","",""
"26","3","Q3, Q6, Q7","NTF5P03T3G","device:Q_PMOS_GDS","TO_SOT_Packages_SMD:SOT-223-3_TabPin2","","","","",""
"27","1","Q5","IPN70R900P7SATMA1","device:Q_NMOS_GDS","TO_SOT_Packages_SMD:SOT-223-3_TabPin2","","","","",""
"28","6","R1, R5, R6, R26, R27, R28","1k","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"29","2","R2, R10","5.6k","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"30","2","R3, R9","3.3k","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"31","12","R4, R12, R13, R17, R18, R19, R20, R21, R22, R23, R24, R25","10k","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"32","2","R7, R8","165k","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"33","1","R11","300","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"34","1","R14","LDR","opto:LDR03","Opto-Devices:Resistor_LDR_10x8.5_RM7.6","","","","",""
"35","1","R15","330k","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"36","5","R16, R43, R44, R45, R46","100k","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"37","12","R29, R30, R31, R32, R34, R35, R36, R37, R39, R40, R41, R42","5k","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"38","2","R33, R38","68k","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"39","4","R47, R48, R49, R50","0R","device:R","Resistors_SMD:R_0805_HandSoldering","","","","",""
"40","3","RV1, RV2, RV3","100k","device:POT","Potentiometers:Potentiometer_Trimmer_Bourns_3214G","","","","",""
"41","4","SW1, SW2, SW3, SW4","SW_Push","switches:SW_Push","footprints:SW_SMD","","","","",""
"42","2","U1, U2","MC34063","dc-dc:MC34063","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","","","","",""
"43","1","U3","MCP7940N","microchip:MCP7940N","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","","","","",""
"44","1","U4","ESP-12","ESP8266:ESP-12","footprints:ESP-12-SMD","","","","",""
"45","2","U5, U6","HV5522","components:HV5522","Housings_QFP:PQFP-44_10x10mm_Pitch0.8mm","","","","",""
"46","1","U7","AZ1117-3.3","regul:AZ1117-3.3","TO_SOT_Packages_SMD:SOT-223-3_TabPin2","","","","",""
"47","1","Y1","32.768 kHz","device:Crystal_GND3","footprints:Citizen_CMR200T","","","","",""
